Feature_ID,CAS,Mean_RT
000090-80-2_group1,000090-80-2,18.9271
000090-80-2_group2,000090-80-2,23.202
000091-04-3_group1,000091-04-3,17.5881
000091-10-1_group1,000091-10-1,8.7826
000091-17-8_group1,000091-17-8,8.227966666666667
000091-20-3_group1,000091-20-3,14.02688188
000091-20-3_group2,000091-20-3,15.715754545454546
000091-20-3_group3,000091-20-3,17.83125
000091-20-3_group4,000091-20-3,18.16295714285714
000091-22-5_group1,000091-22-5,16.3184
000091-23-6_group1,000091-23-6,20.4438
000091-23-6_group2,000091-23-6,27.452
000091-23-6_group3,000091-23-6,27.968400000000003
000091-57-6_group1,000091-57-6,15.334524736842104
000091-57-6_group2,000091-57-6,18.957146153846153
000091-57-6_group3,000091-57-6,19.432560000000002
000091-57-6_group4,000091-57-6,19.744225
000091-57-6_group5,000091-57-6,20.0257
000091-57-6_group6,000091-57-6,20.379814285714286
000091-59-8_group1,000091-59-8,14.9196
000091-59-8_group2,000091-59-8,15.13625
000091-80-5_group1,000091-80-5,40.8188
000092-06-8_group1,000092-06-8,38.7633
000092-06-8_group2,000092-06-8,39.5487
000092-52-4_group1,000092-52-4,16.687915789473685
000092-52-4_group2,000092-52-4,21.511133333333333
000092-52-4_group3,000092-52-4,21.98841333333333
000092-54-6_group1,000092-54-6,8.4627
000092-71-7_group1,000092-71-7,11.7028
000092-71-7_group2,000092-71-7,18.7591
000092-71-7_group3,000092-71-7,19.9097
000092-94-4_group1,000092-94-4,38.757099999999994
000092-94-4_group2,000092-94-4,39.5025
000093-03-8_group1,000093-03-8,29.2099
000093-03-8_group2,000093-03-8,40.154
000093-04-9_group1,000093-04-9,19.125825
000093-04-9_group2,000093-04-9,19.6195
000093-37-8_group1,000093-37-8,18.7326
000093-53-8_group1,000093-53-8,9.1064
000093-56-1_group1,000093-56-1,14.5418
000093-58-3_group1,000093-58-3,12.873592307692308
000093-60-7_group1,000093-60-7,14.3442
000093-69-6_group1,000093-69-6,38.245
000093-71-0_group1,000093-71-0,3.2949
000094-34-8_group1,000094-34-8,10.1612
000094-41-7_group1,000094-41-7,35.8157
000094-65-5_group1,000094-65-5,9.7658
000094-93-9_group1,000094-93-9,7.50205
000095-13-6_group1,000095-13-6,11.312
000095-13-6_group2,000095-13-6,11.7862
000095-13-6_group3,000095-13-6,14.952599999999999
000095-13-6_group4,000095-13-6,15.5696
000095-15-8_group1,000095-15-8,11.1835
000095-16-9_group1,000095-16-9,16.103886666666668
000095-16-9_group2,000095-16-9,16.426856666666666
000095-47-6_group1,000095-47-6,5.9754000000000005
000095-47-6_group2,000095-47-6,8.183342953020134
000095-47-6_group3,000095-47-6,9.8147
000095-47-6_group4,000095-47-6,10.554352173913044
000095-48-7_group1,000095-48-7,4.935
000095-48-7_group2,000095-48-7,12.038366666666667
000095-48-7_group3,000095-48-7,12.5323
000095-48-7_group4,000095-48-7,16.34295882352941
000095-48-7_group5,000095-48-7,17.173
000095-48-7_group6,000095-48-7,17.6518
000095-48-7_group7,000095-48-7,21.004550000000002
000095-48-7_group8,000095-48-7,21.43784761904762
000095-50-1_group1,000095-50-1,10.4013
000095-50-1_group2,000095-50-1,11.0612
000095-50-1_group3,000095-50-1,11.349716666666666
000095-56-7_group1,000095-56-7,16.2706
000095-57-8_group1,000095-57-8,7.0812
000095-57-8_group2,000095-57-8,14.94034857142857
000095-57-8_group3,000095-57-8,18.714
000095-57-8_group4,000095-57-8,19.08974
000095-57-8_group5,000095-57-8,25.0449
000095-63-6_group1,000095-63-6,9.464831578947368
000095-63-6_group2,000095-63-6,10.3148
000095-63-6_group3,000095-63-6,11.7934
000095-63-6_group4,000095-63-6,12.064466666666666
000095-63-6_group5,000095-63-6,12.36212
000095-69-2_group1,000095-69-2,13.1534
000095-71-6_group1,000095-71-6,15.9853
000095-87-4_group1,000095-87-4,13.3518
000095-93-2_group1,000095-93-2,10.448225
000095-93-2_group2,000095-93-2,11.334260810810811
000095-93-2_group3,000095-93-2,13.6766
000095-93-2_group4,000095-93-2,14.190733333333334
000095-93-2_group5,000095-93-2,14.9077
000095-93-2_group6,000095-93-2,23.2703
000095-95-4_group1,000095-95-4,22.7902
000095-95-4_group2,000095-95-4,23.5004
000095-95-4_group3,000095-95-4,25.4394
000096-08-2_group1,000096-08-2,11.9104
000096-08-2_group2,000096-08-2,21.6098
000096-14-0_group1,000096-14-0,1.571
000096-14-0_group2,000096-14-0,3.4513
000096-33-3_group1,000096-33-3,5.7297
000096-37-7_group1,000096-37-7,1.83014
000096-37-7_group2,000096-37-7,3.6625333333333336
000096-38-8_group1,000096-38-8,1.9307
000096-39-9_group1,000096-39-9,1.912
000096-39-9_group2,000096-39-9,4.617050000000001
000096-76-4_group1,000096-76-4,17.194
000096-76-4_group2,000096-76-4,20.52393908045977
000096-76-4_group3,000096-76-4,21.085570588235296
000096-76-4_group4,000096-76-4,28.1351
000096-76-4_group5,000096-76-4,28.60335
000096-97-9_group1,000096-97-9,17.2639
000097-30-3_group1,000097-30-3,12.8322
000097-30-3_group2,000097-30-3,13.1511
000097-41-6_group1,000097-41-6,19.0283
000097-51-8_group1,000097-51-8,6.9479
000097-51-8_group2,000097-51-8,13.549
000097-51-8_group3,000097-51-8,16.2334
000097-51-8_group4,000097-51-8,18.0687
000097-69-8_group1,000097-69-8,17.41875
000097-69-8_group2,000097-69-8,19.1472
000097-69-8_group3,000097-69-8,22.8876
000097-69-8_group4,000097-69-8,24.677100000000003
000097-69-8_group5,000097-69-8,32.0026
000097-85-8_group1,000097-85-8,15.09196
000097-85-8_group2,000097-85-8,15.372900000000001
000097-95-0_group1,000097-95-0,4.016366666666666
000097-95-0_group2,000097-95-0,5.3383
000097-95-0_group3,000097-95-0,6.8195
000097-95-0_group4,000097-95-0,8.5779
000097-95-0_group5,000097-95-0,13.8349
000097-95-0_group6,000097-95-0,17.3387
000097-96-1_group1,000097-96-1,5.21936
000097-96-1_group2,000097-96-1,6.8549
000098-00-0_group1,000098-00-0,4.0714
000098-00-0_group2,000098-00-0,5.4428
000098-00-0_group3,000098-00-0,6.975433333333334
000098-00-0_group4,000098-00-0,7.4882
000098-00-0_group5,000098-00-0,7.8862
000098-00-0_group6,000098-00-0,8.275633333333333
000098-00-0_group7,000098-00-0,12.810755555555554
000098-01-1_group1,000098-01-1,4.5061
000098-01-1_group2,000098-01-1,4.95824
000098-01-1_group3,000098-01-1,5.3588000000000005
000098-01-1_group4,000098-01-1,11.276177777777779
000098-06-6_group1,000098-06-6,23.2583
000098-19-1_group1,000098-19-1,22.3187
000098-28-2_group1,000098-28-2,17.5445
000098-28-2_group2,000098-28-2,17.89160588235294
000098-28-2_group3,000098-28-2,23.8039
000098-53-3_group1,000098-53-3,8.21
000098-54-4_group1,000098-54-4,19.4784
000098-54-4_group2,000098-54-4,20.52609530201342
000098-54-4_group3,000098-54-4,28.081400000000002
000098-54-4_group4,000098-54-4,28.568933333333334
000098-54-4_group5,000098-54-4,29.804599999999997
000098-54-4_group6,000098-54-4,30.221
000098-55-5_group1,000098-55-5,13.449522222222221
000098-56-6_group1,000098-56-6,8.211
000098-57-7_group1,000098-57-7,11.2415
000098-82-8_group1,000098-82-8,7.575699999999999
000098-82-8_group2,000098-82-8,8.384261702
000098-82-8_group3,000098-82-8,10.6142
000098-82-8_group4,000098-82-8,10.83775
000098-83-9_group1,000098-83-9,9.3947
000098-83-9_group2,000098-83-9,10.066892857142857
000098-83-9_group3,000098-83-9,12.603449999999999
000098-83-9_group4,000098-83-9,12.8929
000098-85-1_group1,000098-85-1,14.3001
000098-85-1_group2,000098-85-1,17.3532
000098-85-1_group3,000098-85-1,18.8947
000098-86-2_group1,000098-86-2,12.216700000000001
000098-86-2_group2,000098-86-2,13.090079761904763
000098-86-2_group3,000098-86-2,16.4866
000098-86-2_group4,000098-86-2,16.79463913043478
000098-95-3_group1,000098-95-3,18.9591
000098-96-4_group1,000098-96-4,12.737
000098-96-4_group2,000098-96-4,13.37305
000099-48-9_group1,000099-48-9,8.7666
000099-49-0_group1,000099-49-0,14.0944
000099-66-1_group1,000099-66-1,10.2744
000099-83-2_group1,000099-83-2,8.258939999999999
000099-84-3_group1,000099-84-3,7.69145
000099-85-4_group1,000099-85-4,8.2022
000099-85-4_group2,000099-85-4,8.6868
000099-85-4_group3,000099-85-4,9.052700000000002
000099-85-4_group4,000099-85-4,11.2973
000099-86-5_group1,000099-86-5,8.3811
000099-86-5_group2,000099-86-5,10.4637
000099-86-5_group3,000099-86-5,11.298754545454544
000099-86-5_group4,000099-86-5,13.481
000099-86-5_group5,000099-86-5,14.2907
000099-87-6_group1,000099-87-6,9.424912195121951
000099-87-6_group2,000099-87-6,10.340577142857143
